,BUILDING TYPE,TOTAL KWH,PREDICTION
19047,1,53161.0,6317.000000011958
19048,1,67968.0,9361.000000047425
19049,1,48651.0,5181.000000025029
19050,1,74340.0,8065.000000100465
19051,1,101352.0,15800.00000019601
19053,0,67060.0,7604.000000126285
19054,0,52458.0,6388.000000055434
19055,1,23869.0,3332.999999921116
19056,1,58744.0,7666.999999895841
19058,1,15591.0,2423.9999999070715
19060,1,40697.0,5552.9999999626325
19061,1,61500.0,9180.99999998172
19063,1,48528.0,7383.000000050866
19064,1,95727.0,11574.000000042262
19066,1,20120.0,3382.000000031856
19067,1,23642.0,1979.9999999391257
19068,1,61278.0,7751.000000075419
19072,1,40698.0,5700.999999989976
19073,1,19242.0,2729.000000000833
19074,1,20779.0,3601.9999999367883
19075,0,34087.0,2682.9999999334177
19076,1,114340.0,8922.000000158503
19077,1,25797.0,1790.9999999100291
19078,0,23274.0,4679.999999903481
19079,1,123279.0,15364.000000214897
19080,1,52643.0,7030.999999863367
19081,1,102102.0,10660.000000078246
19082,1,69622.0,5009.0000000308955
19083,1,207748.0,17922.000000184747
19084,1,101520.0,9144.000000052156
19086,1,119718.0,17321.0000002154
19087,0,77232.0,8135.000000031074
19088,1,24060.0,3639.999999977479
19089,1,42743.0,3162.0000000132586
19090,1,7466.0,1185.9999999120882
19091,1,11291.0,641.9999999815445
19092,1,75931.0,11811.999999925349
19093,1,42125.0,5237.99999994063
19094,1,44035.0,5547.99999993183
19095,1,92501.0,13665.000000042228
19097,1,105668.0,14771.999999988377
19098,1,85330.0,9123.000000070402
19099,1,146440.0,19618.000000012966
19100,0,34846.0,4596.999999969883
19101,1,135756.0,16968.000000087137
19102,1,60483.0,7915.000000081303
19103,0,118295.0,14297.000000203348
19105,1,49715.0,7474.000000080468
19106,1,31287.0,3761.999999907901
19107,1,48518.0,6297.000000088217
19108,1,67952.0,8415.00000001714
19109,1,57049.0,6049.00000006598
19110,1,84132.0,10413.999999988922
19111,1,38541.0,3267.0000000119708
19112,1,73657.0,8695.999999968619
19113,1,15400.0,1882.9999999119882
19114,1,98352.0,17665.999999937685
19115,1,32091.0,6912.999999978632
19116,1,117772.0,18280.999999959226
19117,1,108880.0,16023.00000000053
19118,1,139772.0,20153.000000118256
19119,1,144939.0,17984.00000006125
19120,1,20626.0,1495.9999999421798
19121,1,130455.0,16748.000000069133
19123,1,25257.0,2357.9999999947613
19124,0,151803.0,13299.99999983257
19125,1,43602.0,2873.9999998990697
19126,1,35317.0,4913.000000037899
19127,0,78249.0,10248.000000148759
19128,1,73381.0,7792.00000007336
19129,1,113582.0,11919.000000091506
19130,1,138115.0,8369.000000099048
19131,1,134259.0,17561.000000138887
19132,1,49775.0,8037.999999868962
19133,1,105374.0,10452.000000017626
19134,1,52604.0,5445.0000000029995
19135,1,43146.0,3022.999999992777
19136,0,26559.0,2153.9999998787025
19138,1,21482.0,2203.9999999577412
19139,1,17368.0,2116.999999912485
19140,1,95058.0,9133.000000114598
19141,1,41081.0,6391.999999905052
19145,1,18533.0,1165.999999888143
19146,1,23192.0,2627.999999955151
19147,1,26756.0,3846.9999999655574
19148,1,22123.0,2293.9999999554802
19149,1,37333.0,3609.999999745636
19150,1,100392.0,19327.999999976084
19151,1,45016.0,7291.9999999955235
19152,1,95373.0,11754.000000044765
19153,0,12600.0,1087.9999999719366
19154,0,40143.0,5386.000000042151
19155,1,85904.0,11787.999999982901
19156,1,55938.0,5879.00000004128
19158,1,60621.0,8819.000000015183
19159,1,77998.0,10104.000000027598
19160,1,39605.0,2913.000000132559
19161,1,52531.0,7813.999999998296
19162,0,13203.0,1754.9999999687352
19163,1,85709.0,10024.000000016327
19164,1,144215.0,19313.000000156153
19165,1,111851.0,8946.999999941312
19166,1,153346.0,17099.999999994627
19167,1,94454.0,10658.000000010627
19168,1,56958.0,7741.999999981019
19169,1,68243.0,8383.000000014088
19170,1,108305.0,11265.000000139136
19171,1,67481.0,10750.999999939866
19172,1,116446.0,14699.999999999802
19175,1,48146.0,5585.999999929392
19176,1,62987.0,6183.999999965272
19177,1,20060.0,2440.9999999411666
19178,1,91334.0,11753.000000015498
19180,1,130320.0,16615.00000017785
19181,1,101653.0,11712.000000025906
19182,1,157830.0,21033.000000021602
19183,1,163160.0,22341.999999995296
19184,1,140506.0,18867.999999952113
19185,1,153278.0,21592.000000076314
19186,1,107757.0,13164.000000053504
19188,1,67047.0,8370.000000078337
19189,1,41974.0,5531.000000021022
19190,1,56372.0,6967.000000003936
19191,1,58468.0,7872.999999899992
19192,1,61257.0,5394.999999925121
19193,1,79754.0,10096.000000094784
19194,1,53321.0,4107.00000007324
19195,1,137476.0,15166.000000260845
19197,1,70139.0,7506.000000053888
19198,1,83712.0,9113.000000140923
19199,0,63321.0,6839.000000186674
19200,1,33824.0,3554.9999999618503
19201,1,71975.0,9497.999999929609
19202,0,182832.0,20118.00000051479
19203,0,54748.0,6101.000000085571
19205,1,19535.0,1973.000000053129
19206,1,107972.0,13214.000000110895
19208,1,59069.0,5214.999999975238
19209,1,120801.0,15637.999999928657
19210,1,43782.0,3818.000000038175
19211,1,104515.0,9802.00000009447
19214,1,54864.0,6370.0000000611
19215,1,78492.0,11091.999999927308
19216,1,10979.0,1057.99999993058
19217,1,29978.0,5422.000000009568
19218,1,7044.0,959.99999994467
19219,1,23433.0,3717.99999997948
19220,1,84806.0,9322.999999991625
19221,1,118001.0,12514.000000014961
19222,1,141155.0,21694.0000000141
19223,1,60387.0,6242.0000000419095
19224,0,81432.0,9491.999999951877
19225,1,41747.0,7559.999999902855
19227,1,38230.0,8169.999999820493
19229,1,55416.0,6282.9999999681695
19231,1,46168.0,6290.999999965437
19232,1,58069.0,7679.999999989843
19233,1,58299.0,5498.999999961359
19234,1,52867.0,8379.000000024844
19235,1,27350.0,4893.999999943564
19236,1,53146.0,9124.00000005733
19237,1,51723.0,7347.999999962964
19238,1,47779.0,5904.000000053831
19239,1,7752.0,910.9999999944739
19240,1,86258.0,9697.000000068074
19241,1,108481.0,19548.999999972577
19242,1,23202.0,3762.9999999511438
19243,1,63061.0,10183.000000042763
19245,1,104976.0,12928.999999978314
19246,1,21675.0,2261.999999993952
19247,1,100722.0,15321.000000176606
19248,0,64119.0,6979.000000522021
19249,1,22579.0,3134.9999999152787
19250,1,137821.0,20267.00000005084
19252,1,140664.0,23333.000000068194
19253,1,123239.0,15386.000000094766
19254,1,16041.0,1566.9999999089014
19255,1,90340.0,13368.000000090498
19256,1,47940.0,5440.000000014992
19257,1,11423.0,918.9999999849788
19259,1,50513.0,8616.999999926984
19260,1,103935.0,12397.000000069376
19261,1,104875.0,12975.000000132866
19263,1,91246.0,13149.000000041062
19264,1,69425.0,4966.000000020267
19265,1,85883.0,7550.999999993335
19266,1,122476.0,17831.000000140888
19267,1,76776.0,12297.00000000773
19268,1,19598.0,1789.0000000509644
19269,1,49669.0,7381.999999955586
19270,1,71414.0,12346.999999950523
19271,1,154445.0,19420.000000122254
19272,1,130755.0,18119.000000073167
19273,1,75431.0,7689.000000010048
19274,1,35185.0,3900.9999999712654
19275,1,128257.0,16391.00000008644
19276,1,139763.0,18842.000000149
19277,1,8863.0,778.9999999119136
19278,0,59695.0,4786.99999980629
19280,1,9645.0,1070.9999999936408
19281,1,46565.0,3175.999999858792
19282,1,45975.0,6066.999999990623
19283,1,73008.0,7569.999999975002
19284,1,40557.0,4597.999999990381
19285,1,43725.0,5404.999999959598
19286,1,40224.0,2545.9999999324173
19287,1,73367.0,9263.999999983045
19288,1,68401.0,7997.99999996607
19289,1,26529.0,3452.999999958516
19290,1,138453.0,16811.00000026266
19291,1,24041.0,1942.0000000082346
19292,1,50945.0,7605.999999990885
19294,1,106243.0,12733.000000171802
19295,1,36961.0,3523.0000000223226
19296,1,103177.0,14279.000000143516
19297,1,119851.0,14009.000000062872
19298,1,74834.0,6966.999999966591
19299,1,141730.0,18103.99999989126
19300,1,142504.0,18491.999999912437
19301,1,110071.0,13350.000000018721
19302,1,237491.0,29595.000000206877
19303,1,163852.0,16592.000000047996
19305,1,95160.0,10323.999999913107
19306,1,67072.0,6360.000000069398
19307,1,95271.0,11545.000000110482
19308,1,63741.0,6757.000000040343
19309,1,99701.0,15091.000000006788
19310,1,139728.0,22107.00000008879
19311,1,103855.0,13551.999999950018
19312,1,134072.0,18136.00000003692
19313,1,22418.0,3185.999999924088
19314,1,106712.0,13169.000000016844
19316,1,31161.0,2973.000000020529
19317,1,94120.0,11178.000000087266
19318,1,26547.0,3032.9999999734628
19319,1,110194.0,12569.000000090646
19321,1,119477.0,14424.000000035068
19323,1,152383.0,23155.000000080716
19324,1,168578.0,21876.00000008032
19325,1,39487.0,6307.999999939235
19326,1,68415.0,9564.999999996162
19327,1,26628.0,3842.000000010308
19328,1,50387.0,6423.999999998188
19329,1,160294.0,23638.000000166114
19330,1,140371.0,21216.000000051314
19331,1,159331.0,17383.000000216154
19333,0,309719.0,34896.000000009895
19336,1,23990.0,2125.999999872185
19337,1,97867.0,15164.000000007902
19338,1,33636.0,5036.999999955295
19339,1,84798.0,10335.000000077409
19340,1,66386.0,7771.000000005875
19341,1,46833.0,7038.000000008928
19343,1,124772.0,17076.000000167835
19344,1,96851.0,14370.00000002566
19346,1,44674.0,6206.999999991553
19347,1,38596.0,6359.99999999795
19348,1,86464.0,13937.000000080425
19349,1,89740.0,14668.000000093823
19350,1,71228.0,10289.000000029508
19351,1,112913.0,18483.00000014966
19352,1,132782.0,18145.000000153126
19353,1,142436.0,17333.000000032946
19354,1,80321.0,12224.999999991574
19355,1,120798.0,18383.99999997695
19356,1,114753.0,13536.000000031441
19357,1,55715.0,8506.999999958882
19358,1,63369.0,8903.999999958214
19359,1,87909.0,11317.0000000199
19360,1,144118.0,15164.000000018035
19361,0,37206.0,4123.000000013872
19362,0,116424.0,18056.0000007568
19363,1,38496.0,3816.000000063037
19364,1,72350.0,8365.000000043201
19365,1,51753.0,5738.000000066133
19367,1,11540.0,1420.999999927937
19368,1,111935.0,13335.00000006093
19370,1,93502.0,13428.000000097263
19371,1,22742.0,2388.9999999236243
19372,1,106608.0,15307.00000011803
19373,1,47865.0,5465.000000034066
19374,1,42785.0,6281.999999975431
19375,1,132243.0,21856.000000211447
19376,1,45440.0,6821.999999999252
19377,1,29722.0,3688.999999947937
19378,1,46877.0,5660.0000000044165
19379,1,25933.0,2874.9999999858173
19380,1,54569.0,7178.999999997626
